,node_id1,node_id2,label_id1,label_id2,ibd_sum
122,node_8,node_2431,мордвины,украинцы,13.2091
123,node_9,node_14,мордвины,мордвины,20.7023
124,node_9,node_15,мордвины,мордвины,17.4884
125,node_9,node_20,мордвины,мордвины,9.44408
126,node_9,node_1280,мордвины,южные-русские,8.04387
127,node_9,node_1285,мордвины,южные-русские,8.69114
128,node_9,node_1443,мордвины,южные-русские,8.80148
129,node_9,node_1666,мордвины,южные-русские,8.01161
130,node_9,node_1979,мордвины,северные-русские,10.0832
131,node_9,node_2076,мордвины,северные-русские,9.29996
132,node_9,node_2282,мордвины,северные-русские,8.7303
133,node_10,node_15,мордвины,мордвины,44.1872
134,node_10,node_16,мордвины,мордвины,16.6595
135,node_10,node_148,мордвины,северные-русские,10.5942
136,node_10,node_684,мордвины,южные-русские,8.62097
137,node_10,node_978,мордвины,северные-русские,9.52654
138,node_10,node_1649,мордвины,южные-русские,8.29915
139,node_10,node_2049,мордвины,южные-русские,8.31963
140,node_10,node_2124,мордвины,южные-русские,9.0677
141,node_10,node_2456,мордвины,южные-русские,8.24991
142,node_10,node_2473,мордвины,южные-русские,8.11123
143,node_11,node_19,мордвины,мордвины,8.60155
144,node_11,node_21,мордвины,мордвины,38.4542
145,node_11,node_24,мордвины,мордвины,17.8443
146,node_11,node_224,мордвины,северные-русские,8.24287
147,node_11,node_340,мордвины,северные-русские,9.30603
148,node_11,node_464,мордвины,северные-русские,10.8787
149,node_11,node_516,мордвины,северные-русские,9.03628
150,node_11,node_674,мордвины,украинцы,8.41824
151,node_11,node_889,мордвины,северные-русские,11.1875
152,node_11,node_1073,мордвины,южные-русские,8.83228
153,node_11,node_58,мордвины,мордвины,9.63666
154,node_11,node_60,мордвины,мордвины,8.24376
155,node_11,node_2282,мордвины,северные-русские,9.82182
156,node_12,node_15,мордвины,мордвины,10.0723
157,node_12,node_19,мордвины,мордвины,21.1418
158,node_12,node_21,мордвины,мордвины,43.2231
159,node_12,node_22,мордвины,мордвины,10.4742
160,node_12,node_164,мордвины,северные-русские,19.561
161,node_12,node_185,мордвины,южные-русские,8.3516
162,node_12,node_312,мордвины,северные-русские,9.54319
163,node_12,node_1054,мордвины,южные-русские,16.7675
164,node_12,node_1352,мордвины,северные-русские,15.1895
165,node_12,node_1395,мордвины,северные-русские,17.1941
166,node_12,node_1577,мордвины,северные-русские,30.1248
167,node_12,node_1584,мордвины,мордвины,8.90572
168,node_12,node_1883,мордвины,южные-русские,8.79193
169,node_12,node_1914,мордвины,южные-русские,8.33691
170,node_13,node_16,мордвины,мордвины,10.8125
171,node_13,node_23,мордвины,мордвины,8.19495
172,node_13,node_236,мордвины,южные-русские,8.2551
173,node_13,node_252,мордвины,северные-русские,8.68617
174,node_13,node_702,мордвины,южные-русские,8.00112
175,node_13,node_1038,мордвины,северные-русские,10.9046
176,node_13,node_45,мордвины,мордвины,13.4963
177,node_13,node_46,мордвины,мордвины,29.8501
178,node_13,node_1583,мордвины,мордвины,9.62199
179,node_13,node_1587,мордвины,мордвины,15.0116
180,node_13,node_61,мордвины,мордвины,8.34413
181,node_14,node_16,мордвины,мордвины,53.0641
182,node_14,node_20,мордвины,мордвины,19.0705
183,node_14,node_681,мордвины,северные-русские,15.4418
184,node_14,node_755,мордвины,южные-русские,8.6102
185,node_14,node_1058,мордвины,северные-русские,8.40215
186,node_14,node_1370,мордвины,южные-русские,10.0618
187,node_14,node_2041,мордвины,южные-русские,13.0875
188,node_14,node_2067,мордвины,южные-русские,8.76413
189,node_14,node_2129,мордвины,южные-русские,8.44597
190,node_14,node_2149,мордвины,южные-русские,8.44597
191,node_15,node_176,мордвины,северные-русские,10.0934
192,node_15,node_335,мордвины,южные-русские,10.5303
193,node_15,node_865,мордвины,северные-русские,8.01712
194,node_15,node_1016,мордвины,южные-русские,8.31295
195,node_15,node_1314,мордвины,южные-русские,11.1978
196,node_15,node_1377,мордвины,северные-русские,15.2483
197,node_15,node_1577,мордвины,северные-русские,13.0051
198,node_15,node_1820,мордвины,северные-русские,8.0993
199,node_16,node_20,мордвины,мордвины,15.7235
200,node_16,node_327,мордвины,северные-русские,8.03667
201,node_16,node_628,мордвины,северные-русские,10.144
202,node_16,node_707,мордвины,южные-русские,11.8205
203,node_16,node_1017,мордвины,северные-русские,9.76492
204,node_16,node_49,мордвины,мордвины,13.3663
205,node_16,node_1883,мордвины,южные-русские,16.7608
206,node_16,node_1951,мордвины,северные-русские,10.3132
207,node_16,node_2120,мордвины,южные-русские,9.22215
208,node_16,node_2124,мордвины,южные-русские,8.99667
209,node_16,node_2248,мордвины,южные-русские,8.21798
210,node_17,node_18,мордвины,мордвины,17.317
211,node_17,node_891,мордвины,южные-русские,8.92243
212,node_17,node_1548,мордвины,южные-русские,8.36967
213,node_17,node_1586,мордвины,мордвины,8.10257
214,node_17,node_1820,мордвины,северные-русские,14.5975
215,node_17,node_1957,мордвины,южные-русские,8.35664
216,node_17,node_2440,мордвины,южные-русские,8.28378
217,node_18,node_19,мордвины,мордвины,25.0168
218,node_18,node_23,мордвины,мордвины,32.0153
219,node_18,node_176,мордвины,северные-русские,9.82898
220,node_18,node_866,мордвины,южные-русские,8.0048
221,node_18,node_1024,мордвины,северные-русские,9.20739
222,node_18,node_1475,мордвины,северные-русские,10.0765
223,node_18,node_1585,мордвины,мордвины,8.04703
224,node_18,node_2294,мордвины,северные-русские,8.24569
225,node_18,node_2389,мордвины,северные-русские,8.3622
226,node_19,node_21,мордвины,мордвины,9.5293
227,node_19,node_22,мордвины,мордвины,20.1973
228,node_19,node_23,мордвины,мордвины,24.5313
229,node_19,node_442,мордвины,северные-русские,10.3412
230,node_19,node_1070,мордвины,северные-русские,8.56657
231,node_19,node_1290,мордвины,северные-русские,10.8657
232,node_19,node_1377,мордвины,северные-русские,8.83624
233,node_19,node_1569,мордвины,украинцы,10.9277
234,node_19,node_1604,мордвины,южные-русские,14.958
235,node_19,node_1625,мордвины,южные-русские,9.49966
236,node_19,node_2093,мордвины,северные-русские,11.1353
237,node_19,node_2236,мордвины,южные-русские,8.25428
238,node_19,node_2402,мордвины,белорусы,8.39599
239,node_19,node_2514,мордвины,украинцы,8.49906
240,node_20,node_1032,мордвины,северные-русские,9.11088
241,node_20,node_1621,мордвины,северные-русские,9.30993
242,node_20,node_1746,мордвины,северные-русские,24.0418
243,node_20,node_1792,мордвины,южные-русские,10.813
244,node_20,node_1806,мордвины,южные-русские,10.627
245,node_20,node_1870,мордвины,южные-русские,9.00104
246,node_20,node_2289,мордвины,северные-русские,9.31032
247,node_20,node_88,мордвины,украинцы,8.10684
248,node_21,node_22,мордвины,мордвины,9.40254
249,node_21,node_23,мордвины,мордвины,25.0429
250,node_21,node_354,мордвины,южные-русские,8.31646
251,node_21,node_438,мордвины,южные-русские,9.53613
252,node_21,node_838,мордвины,украинцы,9.17819
253,node_21,node_1248,мордвины,северные-русские,9.16255
254,node_21,node_1423,мордвины,южные-русские,13.7626
255,node_21,node_1579,мордвины,южные-русские,9.53729
256,node_21,node_1974,мордвины,южные-русские,8.20551
257,node_21,node_2076,мордвины,северные-русские,15.8087
258,node_21,node_2224,мордвины,северные-русские,8.16759
259,node_21,node_2460,мордвины,южные-русские,9.9306
260,node_21,node_2557,мордвины,украинцы,9.00649
261,node_22,node_296,мордвины,южные-русские,17.9666
262,node_22,node_329,мордвины,южные-русские,10.1617
263,node_22,node_569,мордвины,южные-русские,11.8308
264,node_22,node_1291,мордвины,южные-русские,10.6446
265,node_22,node_1585,мордвины,мордвины,9.72288
266,node_22,node_1594,мордвины,южные-русские,8.66003
267,node_22,node_1825,мордвины,южные-русские,9.53501
268,node_22,node_1894,мордвины,южные-русские,18.927
269,node_22,node_1930,мордвины,северные-русские,9.72588
270,node_22,node_1990,мордвины,северные-русские,10.8531
271,node_22,node_2146,мордвины,южные-русские,8.49858
272,node_22,node_2255,мордвины,южные-русские,8.61173
273,node_22,node_2302,мордвины,северные-русские,8.18549
274,node_22,node_2330,мордвины,белорусы,8.00387
275,node_22,node_2333,мордвины,южные-русские,10.0014
276,node_23,node_867,мордвины,южные-русские,8.25448
277,node_23,node_1037,мордвины,южные-русские,10.0045
278,node_23,node_1247,мордвины,северные-русские,8.32219
279,node_23,node_1452,мордвины,южные-русские,10.8379
280,node_23,node_48,мордвины,мордвины,8.51369
281,node_23,node_49,мордвины,мордвины,9.73513
282,node_23,node_58,мордвины,мордвины,8.94379
283,node_23,node_1781,мордвины,южные-русские,8.09068
284,node_23,node_1820,мордвины,северные-русские,10.1428
285,node_24,node_252,мордвины,северные-русские,15.269
286,node_24,node_453,мордвины,северные-русские,12.265
287,node_24,node_1149,мордвины,южные-русские,10.0175
288,node_24,node_1268,мордвины,северные-русские,11.6102
289,node_24,node_1327,мордвины,южные-русские,18.7481
290,node_24,node_1377,мордвины,северные-русские,15.2828
291,node_24,node_48,мордвины,мордвины,9.27449
292,node_24,node_1841,мордвины,южные-русские,12.2787
293,node_24,node_2043,мордвины,северные-русские,10.5253
294,node_24,node_2155,мордвины,южные-русские,10.1778
295,node_24,node_2223,мордвины,южные-русские,12.0796
296,node_24,node_2546,мордвины,белорусы,9.5554
297,node_25,node_129,белорусы,белорусы,8.27498
298,node_25,node_587,белорусы,белорусы,8.45667
299,node_25,node_885,белорусы,южные-русские,9.39901
300,node_25,node_1538,белорусы,южные-русские,8.11402
301,node_25,node_1858,белорусы,южные-русские,11.9341
302,node_25,node_2162,белорусы,южные-русские,9.18222
303,node_25,node_2251,белорусы,северные-русские,8.62157
304,node_26,node_366,белорусы,южные-русские,8.4008
305,node_26,node_574,белорусы,белорусы,8.62788
306,node_26,node_1040,белорусы,южные-русские,8.26706
307,node_26,node_1220,белорусы,северные-русские,10.8821
308,node_26,node_1596,белорусы,белорусы,8.23928
309,node_26,node_2475,белорусы,белорусы,9.13894
310,node_26,node_2519,белорусы,украинцы,9.91637
311,node_27,node_494,украинцы,южные-русские,8.00956
312,node_27,node_650,украинцы,северные-русские,8.85902
313,node_27,node_880,украинцы,белорусы,8.56828
314,node_27,node_1001,украинцы,украинцы,12.3089
315,node_27,node_1146,украинцы,северные-русские,9.34458
316,node_27,node_1230,украинцы,южные-русские,8.24403
317,node_27,node_1235,украинцы,южные-русские,8.54424
318,node_27,node_1477,украинцы,белорусы,14.6605
319,node_27,node_1817,украинцы,южные-русские,8.47485
320,node_27,node_2414,украинцы,южные-русские,8.23779
321,node_27,node_87,украинцы,украинцы,8.00974
322,node_28,node_115,белорусы,южные-русские,8.40076
323,node_28,node_125,белорусы,северные-русские,16.4339
324,node_28,node_587,белорусы,белорусы,8.53776
325,node_28,node_1083,белорусы,южные-русские,12.5272
326,node_28,node_1528,белорусы,южные-русские,9.81496
327,node_28,node_2315,белорусы,южные-русские,9.76415
328,node_28,node_2324,белорусы,южные-русские,10.7552
329,node_28,node_2590,белорусы,белорусы,10.0666
330,node_29,node_172,белорусы,южные-русские,8.41232
331,node_29,node_1503,белорусы,украинцы,10.472
332,node_29,node_2143,белорусы,южные-русские,8.50132
333,node_29,node_2585,белорусы,белорусы,9.91523
334,node_30,node_487,белорусы,южные-русские,8.42371
335,node_30,node_572,белорусы,северные-русские,9.27513
336,node_30,node_1386,белорусы,южные-русские,8.3882
337,node_30,node_1737,белорусы,южные-русские,8.35916
338,node_30,node_1930,белорусы,северные-русские,12.8073
339,node_30,node_2103,белорусы,белорусы,9.37711
340,node_30,node_2371,белорусы,белорусы,13.4245
341,node_31,node_124,белорусы,южные-русские,8.04289
342,node_31,node_197,белорусы,южные-русские,9.3829
343,node_31,node_477,белорусы,белорусы,10.1569
344,node_31,node_593,белорусы,белорусы,8.52623
345,node_31,node_649,белорусы,северные-русские,9.46562
346,node_31,node_844,белорусы,северные-русские,15.8529
347,node_31,node_1093,белорусы,южные-русские,8.15388
348,node_31,node_1861,белорусы,южные-русские,9.85653
349,node_31,node_2546,белорусы,белорусы,17.7164
350,node_32,node_329,украинцы,южные-русские,9.87011
351,node_32,node_1978,украинцы,белорусы,10.662
352,node_32,node_1996,украинцы,южные-русские,10.8848
353,node_32,node_2103,украинцы,белорусы,10.8166
354,node_32,node_2193,украинцы,южные-русские,9.0522
355,node_32,node_2489,украинцы,южные-русские,8.62519
356,node_32,node_79,украинцы,украинцы,8.43937
357,node_32,node_2516,украинцы,белорусы,10.2979
358,node_32,node_2543,украинцы,белорусы,8.21095
359,node_33,node_130,белорусы,белорусы,16.1462
360,node_33,node_153,белорусы,южные-русские,9.96748
361,node_33,node_383,белорусы,южные-русские,8.40338
362,node_33,node_517,белорусы,белорусы,19.6954
363,node_33,node_662,белорусы,южные-русские,8.25081
364,node_33,node_743,белорусы,украинцы,8.95394
365,node_33,node_787,белорусы,южные-русские,8.26054
366,node_33,node_1199,белорусы,северные-русские,10.4679
367,node_33,node_1664,белорусы,северные-русские,8.45782
368,node_33,node_1676,белорусы,южные-русские,8.88551
369,node_33,node_1763,белорусы,южные-русские,8.98196
370,node_33,node_2101,белорусы,белорусы,17.569
371,node_33,node_2385,белорусы,южные-русские,8.04343
372,node_34,node_424,белорусы,белорусы,9.20753
373,node_34,node_893,белорусы,украинцы,13.3659
374,node_34,node_1753,белорусы,южные-русские,8.14618
375,node_34,node_1865,белорусы,южные-русские,8.7417
376,node_34,node_2391,белорусы,белорусы,12.1491
377,node_34,node_2475,белорусы,белорусы,8.79191
378,node_35,node_401,украинцы,белорусы,9.27076
379,node_35,node_746,украинцы,северные-русские,11.0213
380,node_35,node_912,украинцы,южные-русские,8.67848
381,node_35,node_1431,украинцы,южные-русские,8.50341
382,node_35,node_1822,украинцы,северные-русские,9.10742
383,node_36,node_261,украинцы,южные-русские,12.0992
384,node_36,node_1347,украинцы,украинцы,11.3191
385,node_36,node_1880,украинцы,украинцы,130.261
386,node_36,node_1962,украинцы,южные-русские,8.01155
387,node_36,node_2225,украинцы,южные-русские,9.24914
388,node_36,node_2433,украинцы,южные-русские,8.0289
389,node_36,node_2514,украинцы,украинцы,9.46317
390,node_36,node_2558,украинцы,украинцы,9.8046
391,node_37,node_2278,украинцы,южные-русские,10.5904
392,node_37,node_66,украинцы,украинцы,9.19495
393,node_38,node_281,украинцы,украинцы,8.0965
394,node_38,node_382,украинцы,северные-русские,8.85545
395,node_38,node_489,украинцы,южные-русские,8.3198
396,node_38,node_1014,украинцы,украинцы,12.5319
397,node_38,node_1053,украинцы,белорусы,8.43517
398,node_38,node_1189,украинцы,северные-русские,8.08919
399,node_38,node_1837,украинцы,южные-русские,8.18481
400,node_38,node_2598,украинцы,украинцы,8.89889
401,node_39,node_468,украинцы,украинцы,9.35326
402,node_39,node_909,украинцы,украинцы,8.35361
403,node_39,node_1086,украинцы,украинцы,8.09991
404,node_39,node_1149,украинцы,южные-русские,8.42424
405,node_39,node_1160,украинцы,южные-русские,10.5885
406,node_39,node_1192,украинцы,южные-русские,8.29186
407,node_39,node_1637,украинцы,южные-русские,8.74667
408,node_39,node_1817,украинцы,южные-русские,9.37825
409,node_39,node_2207,украинцы,южные-русские,8.95798
410,node_40,node_556,украинцы,южные-русские,10.9016
411,node_40,node_1014,украинцы,украинцы,11.7393
412,node_40,node_1559,украинцы,белорусы,8.68667
413,node_40,node_1569,украинцы,украинцы,8.26779
414,node_40,node_2417,украинцы,южные-русские,10.587
415,node_40,node_2620,украинцы,украинцы,9.75692
416,node_41,node_127,украинцы,южные-русские,9.29784
417,node_41,node_963,украинцы,южные-русские,8.62307
418,node_41,node_85,украинцы,украинцы,8.6053
419,node_41,node_87,украинцы,украинцы,8.6053
420,node_97,node_207,южные-русские,южные-русские,11.7848
421,node_97,node_430,южные-русские,южные-русские,11.9825
422,node_97,node_485,южные-русские,южные-русские,8.09727
423,node_97,node_545,южные-русские,белорусы,8.65614
424,node_97,node_694,южные-русские,южные-русские,9.92369
425,node_97,node_953,южные-русские,северные-русские,8.58965
426,node_97,node_1156,южные-русские,южные-русские,12.3087
427,node_97,node_1224,южные-русские,южные-русские,8.80678
428,node_97,node_1256,южные-русские,южные-русские,8.06962
429,node_97,node_1377,южные-русские,северные-русские,14.6953
430,node_97,node_1430,южные-русские,северные-русские,14.952
431,node_97,node_1525,южные-русские,южные-русские,8.33218
432,node_97,node_1554,южные-русские,украинцы,16.0447
433,node_97,node_1637,южные-русские,южные-русские,8.56187
434,node_97,node_1818,южные-русские,южные-русские,8.06903
435,node_97,node_1974,южные-русские,южные-русские,8.04189
436,node_97,node_2015,южные-русские,северные-русские,14.2011
437,node_97,node_2173,южные-русские,белорусы,9.79768
438,node_97,node_2257,южные-русские,южные-русские,8.11768
439,node_97,node_2412,южные-русские,южные-русские,8.25305
440,node_97,node_2417,южные-русские,южные-русские,9.62711
441,node_97,node_2454,южные-русские,южные-русские,9.08805
442,node_98,node_350,южные-русские,южные-русские,9.24244
443,node_98,node_502,южные-русские,северные-русские,8.78284
444,node_98,node_507,южные-русские,южные-русские,9.45425
445,node_98,node_567,южные-русские,южные-русские,20.1792
446,node_98,node_621,южные-русские,южные-русские,11.5149
447,node_98,node_717,южные-русские,северные-русские,9.99946
448,node_98,node_730,южные-русские,южные-русские,9.38881
449,node_98,node_793,южные-русские,южные-русские,9.33404
450,node_98,node_844,южные-русские,северные-русские,9.18429
451,node_98,node_934,южные-русские,белорусы,8.13554
452,node_98,node_1030,южные-русские,южные-русские,10.1499
453,node_98,node_1145,южные-русские,южные-русские,9.11023
454,node_98,node_1292,южные-русские,южные-русские,8.36675
455,node_98,node_1412,южные-русские,южные-русские,8.82847
456,node_98,node_1556,южные-русские,северные-русские,9.93835
